date,trades,volume_usd,gross_pnl,fees,net_pnl
2024-12-11,1221,2194098.33,319051.554217,413.50923006,318638.04498694
2024-12-12,1932,4557189.87,599151.795008,698.96545151,598452.82955649
2024-12-13,1173,2880824.64,31935.901745,453.22737636,31482.67436864
2024-12-14,1235,2369561.78,167801.399244,232.09144503,167569.30779897
2024-12-15,1697,2583269.81,97525.315279,231.33057037999998,97293.98470862
2024-12-16,1055,2740808.97,166774.344133,402.150056,166372.194077
2024-12-17,1941,5233597.63,219591.305172,746.14038598,218845.16478602
2024-12-18,1429,3798887.07,13682.994673,691.44797021,12991.54670279
2024-12-19,3339,8241709.39,62744.004486000005,1056.23317908,61687.771306919996
2024-12-20,2488,7681274.71,254969.660039,1210.83830578,253758.82173322001
2024-12-21,1681,4382875.12,150022.163157,680.39159713,149341.77155987
2024-12-22,774,3087320.22,352197.163973,333.05684453,351864.10712847
2024-12-23,2347,6771878.26,-29430.626577,1200.89694657,-30631.523523569995
2024-12-24,338,1767036.11,14813.780116,386.78244023,14426.99767577
2024-12-25,208,347889.35,756.6570469999998,66.51878221999999,690.1382647799999
2024-12-26,697,2205242.65,60228.639722,523.35899848,59705.28072352
2024-12-27,260,347913.0,2672.811035,88.5556466,2584.2553884000004
2024-12-28,161,281555.01,940.673623,48.40849263,892.26513037
2024-12-29,201,344628.54,2884.067927,72.1173571,2811.9505699
2024-12-30,304,1073865.73,9009.738137,284.90632048,8724.83181652
2024-12-31,306,877164.62,5445.01281,266.51641113,5178.49639887
2025-01-01,96,282582.1,-9528.065345,31.60438221,-9559.66972721
2025-01-02,361,774674.84,8716.519087,176.13969323,8540.37939377
2025-01-03,508,771208.99,6028.486793,210.99783681,5817.48895619
2025-01-04,371,1826029.6199999999,2553.537968,233.711971,2319.825997
2025-01-05,239,451943.57,3187.719363,139.34161097,3048.37775203
2025-01-06,573,556526.99,6064.185393,174.93108825,5889.25430475
2025-01-07,637,1313178.1,16098.227531,303.38645263,15794.84107837
2025-01-08,1039,3177275.18,130117.090554,696.91291038,129420.17764361999
2025-01-09,522,1020733.25,46975.928902,275.51377943,46700.41512257
2025-01-10,819,6547449.68,-10116.875552,2094.17917505,-12211.054727050001
2025-01-11,283,1658098.71,2269.080536,494.64797735,1774.4325586500001
2025-01-12,602,2258459.17,5742.241803,612.0827527,5130.1590503
2025-01-13,408,2936648.0100000002,9655.429352,863.10012478,8792.32922722
2025-01-14,275,876581.97,16069.512355,240.59104948,15828.92130552
2025-01-15,267,1801599.8900000001,14819.5883,513.60899482,14305.97930518
2025-01-16,371,3049692.96,20807.709328,890.56916796,19917.140160040002
2025-01-17,238,1110230.46,7006.415608,351.41464889,6655.00095911
2025-01-18,651,2711629.88,443.2330819999997,815.9342014599999,-372.70111945999986
2025-01-19,1567,9715215.3,87923.799302,2162.35563971,85761.44366229
2025-01-20,1315,8287327.01,87277.239173,2207.65981966,85069.57935334
2025-01-21,530,1523729.82,11077.839421,398.3042653,10679.5351557
2025-01-22,832,1778406.43,20524.408057,471.17013976,20053.23791724
2025-01-23,1218,3697028.66,101256.24216,1088.34986968,100167.89229032
2025-01-24,874,1611433.45,10602.779738,338.6436011,10264.1361369
2025-01-25,506,1239377.7,-10348.016255999999,318.93376206,-10666.95001806
2025-01-26,451,1201173.66,40823.466668,382.25815423,40441.20851377
2025-01-27,773,1508028.31,41331.765392,406.25916743,40925.50622457
2025-01-28,498,579412.17,17979.613973,124.71028463,17854.90368837
2025-01-29,910,1897513.41,23421.01147,612.52114509,22808.49032491
2025-01-30,1067,3014397.17,23097.471385,874.65111573,22222.82026927
2025-01-31,1016,2783411.48,35868.296773,670.93805151,35197.35872149
2025-02-01,634,1363746.44,32300.205017,285.47738189,32014.72763511
2025-02-02,1319,5661092.29,162854.759623,1184.12208921,161670.63753379
2025-02-03,2380,22592901.37,348871.326269,2991.56562406,345879.76064494
2025-02-04,2512,15678409.27,416876.88812,3853.77856394,413023.10955606
2025-02-05,1297,8743231.51,56706.235562,1335.74961667,55370.48594533
2025-02-06,1703,2818508.87,33803.799733,709.13035861,33094.669374389996
2025-02-07,1524,3460263.54,22450.002091,738.0892383400001,21711.91285266
2025-02-08,575,839734.97,586.703253,109.97628618,476.72696682
2025-02-09,764,2920919.7,150551.829492,427.36182496,150124.46766704
2025-02-10,889,3624958.44,63908.49465,491.3623421,63417.1323079
2025-02-11,848,2797544.17,-6093.784817,476.43012785,-6570.2149448499995
2025-02-12,1031,4143974.54,19848.635032,1099.15503114,18749.48000086
2025-02-13,1370,3199852.21,27829.534238,823.48748402,27006.04675398
2025-02-14,1655,4007103.42,213860.675308,961.57771575,212899.09759225
2025-02-15,932,1712852.95,45042.92701,374.08731802,44668.83969198
2025-02-16,681,806177.64,2369.478425,171.57200528,2197.90641972
2025-02-17,941,2031044.64,1818.573295,253.48675564,1565.08653936
2025-02-18,1676,3371128.68,91204.672403,609.53940291,90595.13300009
2025-02-19,1361,3263930.24,14985.794701,688.4874495,14297.3072515
2025-02-20,2012,4628609.29,46008.794102,1232.46402475,44776.33007725
2025-02-21,1873,3972159.88,119693.49395,829.71831377,118863.77563623
2025-02-22,686,3175570.2,25278.704178,880.16463397,24398.53954403
2025-02-23,520,1141310.74,10656.934251,230.00271917,10426.93153183
2025-02-24,5616,11223619.59,38470.176242,2097.96443324,36372.21180876
2025-02-25,6246,19414984.36,204762.177034,3186.61506431,201575.56196969
2025-02-26,1176,4946958.13,63229.063129,754.17254667,62474.89058233
2025-02-27,890,1999898.43,-36525.167517,512.14597331,-37037.31349031
2025-02-28,1019,4123660.77,225628.108748,878.39826396,224749.71048404
2025-03-01,174,263824.13,10596.108968,37.06354539,10559.045422610001
2025-03-02,532,6460848.74,66914.320708,1931.69694201,64982.62376599
