date,trades,accounts,coins,volume_usd,gross_pnl,fees,net_pnl,win_rate,value,classification,sentiment_bucket
2024-04-22,9,1,1,47993.61,0.0,16.797764,-16.797764,0.0,73.0,Greed,"(67.0, 74.0]"
2024-04-23,66,2,2,233054.9,1119.536196,71.308476,1048.2277199999999,0.5303030303030303,71.0,Greed,"(67.0, 74.0]"
2024-04-24,20,1,1,141275.24,279.185907,49.446315999999996,229.73959100000002,0.3,72.0,Greed,"(67.0, 74.0]"
2024-04-25,74,2,2,120241.01,0.0,160.159512,-160.159512,0.0,72.0,Greed,"(67.0, 74.0]"
2024-04-26,3,1,1,4988.290000000001,0.0,1.745898,-1.745898,0.0,70.0,Greed,"(67.0, 74.0]"
2024-04-27,27,1,1,154264.47,4281.488139,53.99255,4227.495589,0.7037037037037037,67.0,Greed,"(48.0, 67.0]"
2024-04-28,58,2,2,43985.6,0.0,15.394946,-15.394946,0.0,65.0,Greed,"(48.0, 67.0]"
2024-04-29,45,2,2,108699.01,526.9338359999999,38.04463,488.889206,0.37777777777777777,67.0,Greed,"(48.0, 67.0]"
2024-04-30,24,1,1,125018.75,0.0,43.75655,-43.75655,0.0,67.0,Greed,"(48.0, 67.0]"
2024-05-01,14,1,1,87025.45,0.0,30.458908,-30.458908,0.0,54.0,Neutral,"(48.0, 67.0]"
2024-05-03,36,3,4,282682.64999999997,5306.017045,98.910681,5207.106364,0.4722222222222222,48.0,Neutral,"(9.999, 48.0]"
2024-05-04,9,2,2,58998.75,0.0,20.649559,-20.649559,0.0,67.0,Greed,"(48.0, 67.0]"
2024-05-05,6,2,2,24068.350000000002,0.916,8.412778,-7.496778,0.16666666666666666,69.0,Greed,"(67.0, 74.0]"
2024-05-06,9,1,1,206016.43,968.59038,72.105746,896.484634,0.4444444444444444,71.0,Greed,"(67.0, 74.0]"
2024-05-07,18,3,4,108717.58,883.537693,38.039061,845.4986319999999,0.5,68.0,Greed,"(67.0, 74.0]"
2024-05-08,13,2,3,65973.57,1.56576,23.076826,-21.511066,0.07692307692307693,64.0,Greed,"(48.0, 67.0]"
2024-05-09,28,2,2,221966.12,1147.595856,77.688132,1069.9077240000001,0.39285714285714285,55.0,Greed,"(48.0, 67.0]"
2024-05-10,22,1,1,156882.0,2101.741695,54.90869,2046.833005,0.2727272727272727,66.0,Greed,"(48.0, 67.0]"
2024-05-11,9,1,1,63248.95,251.604742,22.137125,229.46761700000002,1.0,53.0,Neutral,"(48.0, 67.0]"
2024-05-12,23,2,3,55179.56,0.0,19.312829,-19.312829,0.0,56.0,Greed,"(48.0, 67.0]"
2024-05-13,28,2,2,193118.9,2136.853859,67.591599,2069.26226,0.35714285714285715,57.0,Greed,"(48.0, 67.0]"
